song_ID,title,singer,total,senti_ID
177,让我一次爱个够,庾澄庆,3442,0.8461538461538461
178,天空之城,李志,103616,0.7857142857142857
179,百年孤寂,王菲,16539,0.9333333333333333
180,残忍,黄伊汶,4549,0.8571428571428571
181,寻,东篱,3909,0.8666666666666667
182,Another You,Madeline Juno,2279,1.0
183,迷魂记,王菲,5254,0.9333333333333333
184,我爱的人,陈小春,24072,0.7857142857142857
185,胭脂雪,Assen捷,4569,0.8571428571428571
186,Rock 'n' Roll Suicide,Black Box Recorder,10206,0.8
187,只愿一生爱一人,张学友,6787,0.9090909090909091
188,Now Or Never (R3hab Remix),Halsey，R3hab,5540,1.0
189,Let It Out,Frances,14096,0.9333333333333333
190,花火,梁咏琪,2465,0.7777777777777778
191,殉情记,古巨基,1587,0.6923076923076923
192,安妮,王杰,8226,0.8461538461538461
193,Vincent,Ellie Goulding,4606,1.0
194,Glitter & Gold,Barns Courtney,9661,0.7272727272727273
195,农夫渔夫,大乔小乔,31888,0.8666666666666667
196,电台广播/花样年华,周璇,2050,0.8571428571428571
197,明年今日 - 2007 Live,陈奕迅,4180,1.0
198,ラブ・ストーリーは突然に（突如其来的爱情）,小田和正,10999,0.9333333333333333
199,我好想你（I Miss You So）,苏打绿,92285,1.0
200,Quit You (Justice Skolnik Remix),Justice Skolnik，Lost Kings，Tinashé,4626,0.8666666666666667
201,石头记,达明一派,3818,0.7857142857142857
202,Out of the Darkness,Matthew And The Atlas,1310,0.8666666666666667
203,不来也不去,陈奕迅,7359,0.8888888888888888
204,够钟,周柏豪,35876,0.875
205,双抛桥,小曲儿，晃儿,1982,1.0
206,鹃,Tacke竹桑，小曲儿,2037,0.9285714285714286
207,The Clouds in Camarillo,Brazzaville,4267,0.7692307692307693
208,李香兰,张学友,20077,0.7142857142857143
209,Come Be With Me,Bird York,2081,0.8571428571428571
210,Let It Go,Gabriel Ríos,4501,0.9230769230769231
211,离骚,Winky诗,8726,0.8
212,沙龙,陈奕迅,15092,0.5
213,Six Feet Under,Billie Eilish,38939,1.0
214,Clint Eastwood,Gorillaz,2831,0.7
215,花旦,玄觞,4118,0.9285714285714286
